info: socket.io started
hey 0 [ 'hey', 'hey' ]
hey 1 [ 'hey', 'hey' ]
serialPort: [object Object]
serialPort: [object Object]
opened
opened
[ 0, 0.24, 8.33, 8.7 ]
[ 0.01, 0.25, 8.37, 8.68 ]
[ 0, 0.36, 8.35, 8.69 ]
[ 0.02, 0.25, 8.34, 8.69 ]
[ 0.02, 0.26, 8.4, 8.73 ]
[ 0.01, 0.26, 8.82, 8.77 ]
[ 0, 0.37, 8.83, 8.86 ]
[ 0.01, 0.25, 8.9, 8.85 ]
[ 0.01, 0.26, 9.07, 8.78 ]
[ 0.01, 0.36, 9.11, 8.7 ]
[ 0.01, 0.24, 9.23, 8.73 ]
[ 0.01, 0.25, 9.47, 8.69 ]
[ 0, 0.25, 9.08, 8.73 ]
[ 0.01, 0.41, 8.32, 8.71 ]
[ 0.02, 0.26, 8.32, 8.76 ]
[ 0.01, 0.26, 8.42, 8.8 ]
[ 0, 0.37, 8.34, 8.76 ]
[ 0, 0.25, 8.36, 8.74 ]
[ 0.01, 0.24, 8.38, 8.75 ]
[ 0, 0.36, 8.33, 8.73 ]
[ 0.02, 0.26, 8.34, 8.7 ]
[ 0.01, 0.26, 8.32, 8.64 ]
[ 0, 0.26, 8.32, 8.66 ]
[ 0.01, 0.37, 8.31, 8.64 ]
[ 0.01, 0.25, 8.34, 8.74 ]
[ 0.01, 0.26, 8.34, 8.75 ]
[ 0, 0.38, 8.34, 8.69 ]
[ 0, 0.25, 8.31, 8.69 ]
[ 0, 0.25, 8.33, 8.71 ]
[ 0, 0.26, 8.33, 8.84 ]
[ 0, 0.36, 8.3, 8.7 ]
[ 0, 0.25, 8.32, 8.71 ]
[ 0, 0.26, 8.29, 8.63 ]
[ 0, 0.36, 8.31, 8.62 ]
[ 0.05, 0.3, 8.3, 8.61 ]
[ 0.01, 0.26, 8.31, 8.61 ]
[ 0.01, 0.35, 8.3, 8.68 ]
[ 0.01, 0.29, 8.31, 8.73 ]
[ 0, 0.25, 8.31, 8.76 ]
[ 0, 0.25, 8.35, 8.65 ]
[ 0.01, 0.37, 8.36, 8.71 ]
[ 0, 0.25, 8.36, 8.66 ]
[ 0, 0.26, 8.36, 8.71 ]
[ 0, 0.38, 8.33, 8.74 ]
[ 0.01, 0.26, 8.31, 8.64 ]
[ 0.01, 0.26, 8.3, 8.75 ]
[ 0, 0.26, 8.33, 8.7 ]
[ 0, 0.37, 8.33, 8.68 ]
[ 0.02, 0.25, 8.33, 8.6 ]
[ 0, 0.26, 8.31, 8.67 ]
[ 0.01, 0.37, 8.29, 8.58 ]
[ 0, 0.26, 8.27, 8.61 ]
[ 0, 0.25, 8.27, 8.57 ]
[ 0, 0.25, 8.31, 8.63 ]
[ 0.02, 0.37, 8.34, 8.68 ]
[ 0, 0.26, 8.32, 8.83 ]
[ 0, 0.25, 8.31, 8.67 ]
[ 0.01, 0.38, 8.31, 8.6 ]
[ 0.02, 0.25, 8.37, 8.72 ]
[ 0, 0.25, 8.33, 8.74 ]
[ 0.02, 0.37, 8.34, 8.8 ]
[ 0, 0.26, 8.34, 8.74 ]
[ 0, 0.25, 8.35, 8.62 ]
[ 0, 0.26, 8.32, 8.68 ]
[ 0, 0.36, 8.29, 8.61 ]
[ 0, 0.25, 8.35, 8.6 ]
[ 0.02, 0.26, 8.31, 8.64 ]
[ 0, 0.37, 8.28, 8.69 ]
[ 0, 0.25, 8.34, 8.68 ]
[ 0.01, 0.26, 8.3, 8.61 ]
[ 0, 0.25, 8.32, 8.61 ]
[ 0, 0.36, 8.31, 8.62 ]
[ 0, 0.25, 8.32, 8.61 ]
[ 0.01, 0.26, 8.3, 8.66 ]
[ 0, 0.37, 8.31, 8.72 ]
[ 0, 0.24, 8.3, 8.73 ]
[ 0.01, 0.26, 8.32, 8.65 ]
[ 0, 0.25, 8.32, 8.64 ]
[ 0, 0.37, 8.28, 8.62 ]
[ 0.02, 0.25, 8.31, 8.67 ]
[ 0.01, 0.25, 8.35, 8.66 ]
[ 0, 0.37, 8.36, 8.76 ]
[ 0, 0.26, 8.3, 8.62 ]
[ 0, 0.26, 8.31, 8.65 ]
[ 0, 0.37, 8.31, 8.62 ]
[ 0.01, 0.26, 8.33, 8.71 ]
[ 0, 0.26, 8.35, 8.72 ]
[ 0.01, 0.26, 8.36, 8.65 ]
[ 0, 0.38, 8.36, 8.64 ]
[ 0, 0.25, 8.34, 8.75 ]
[ 0, 0.25, 8.32, 8.74 ]
[ 0, 0.38, 8.34, 8.73 ]
[ 0.01, 0.25, 8.3, 8.66 ]
[ 0, 0.26, 8.3, 8.62 ]
[ 0.01, 0.25, 8.32, 8.6 ]
[ 0, 0.35, 8.29, 8.68 ]
[ 0, 0.26, 8.3, 8.65 ]
[ 0, 0.25, 8.31, 8.6 ]
[ 0, 0.35, 8.33, 8.69 ]
